gen,sA,sB,sRail,pRail,Tmax,DeltaT
1,0.37339282121492484,0.9153587955483226,0.900277167080938,0.041060108694331354,1.5618600534417533,0.14897100539805153
1,0.7896086433374381,1.0,0.47126013275763745,0.020203617060138943,2.0548221753428964,1.3162444793645003
1,0.5858828173603463,0.8545183914525047,0.9135268495437117,0.31041135701150646,1.3643833443463025,0.3689840682735209
1,0.4434923601755606,0.8804079192722204,0.6500613658752754,0.1693288117130818,1.6124849162676185,0.2974964648013496
1,0.6069165189616315,0.9381235724519755,1.0,0.4161679011430014,1.2262724657819621,0.2653704074622477
1,0.7026911264046805,1.0,0.7918785312496898,0.22478579364866264,1.338980662882288,0.5090465559677552
1,1.0,0.4701553266827067,0.05,0.1809476446636142,11.888398829547766,11.305211496871584
1,0.41579505980278375,0.8855768348426731,0.22603048513271126,0.19550385854487648,3.0433804544085334,1.6407968543691336
1,0.05,0.7146636853409292,0.4981645340135302,0.31604561977534795,11.663746431912465,9.76557644433729
1,0.8906201656919024,0.516552597329104,0.7512441080621068,0.0,2.0974943493012943,1.4426839654026833
1,0.6519168565460463,0.8082721386129584,0.3455915239142613,0.4665675209474749,1.8200895140575368,0.9255163387992518
1,0.5783977892750313,0.3408267004848613,0.05,0.337990454923751,9.653478470526604,8.64519776291522
1,0.4197017639411989,0.5300611787599768,0.33303569772615016,0.36112042071619843,2.603128371013436,1.2136004205148827
1,0.7092430284476371,0.8546598087863342,0.40969569686691854,0.4213321808862346,1.7195285537491571,0.8972612785761327
1,0.5177682157988286,0.6423020571170996,0.05,0.45503899464370073,6.324876451587636,5.198528185436802
1,0.06075467513184252,1.0,1.0,0.09848137101992781,9.599052622613055,8.341431133875858
1,0.5283590465230913,1.0,0.6039131684354637,0.4665675209474749,1.3117071339133355,0.20793624933530208
1,0.17039414989534296,0.5217001182935446,0.3539424935196857,0.4665675209474749,3.422578358441227,0.9896747655864218
2,0.20807030439698382,0.30485681705693096,0.7742002799582186,0.06347472231499646,2.907419592309256,0.10458171428197849
2,0.16119585373931183,0.5608179344964657,0.11640704121578968,0.4665675209474749,3.6549991603895617,0.0371186993658692
2,0.37339282121492484,0.9153587955483226,0.900277167080938,0.041060108694331354,1.5618600534417533,0.14897100539805153
2,0.6069165189616315,0.9381235724519755,1.0,0.4161679011430014,1.2262724657819621,0.2653704074622477
2,0.5283590465230913,1.0,0.6039131684354637,0.4665675209474749,1.3117071339133355,0.20793624933530208
2,0.37339282121492484,0.9153587955483226,0.5072326466504117,0.22242207207875572,1.7469126521095888,0.18505259866783552
2,0.5858828173603463,0.8545183914525047,0.9135268495437117,0.31041135701150646,1.3643833443463025,0.3689840682735209
2,0.4434923601755606,0.8804079192722204,0.6500613658752754,0.1693288117130818,1.6124849162676185,0.2974964648013496
2,0.7026911264046805,1.0,0.7918785312496898,0.22478579364866264,1.338980662882288,0.5090465559677552
2,0.6132774079300694,0.8876645340681295,0.7222335699098525,0.3350988371322704,1.4293367981293799,0.4784011778579519
2,0.783677242663144,0.8545183914525047,0.673644607064658,0.3537740139252413,1.490800464511662,0.7466327118111037
2,1.0,1.0,0.7405395761847486,0.11023149214062632,1.4596277847833168,0.8764404521071345
2,0.3159051293291687,1.0,1.0,0.2009857226418148,1.8460837677808417,0.6247580117917828
2,0.7092430284476371,0.8546598087863342,0.40969569686691854,0.4213321808862346,1.7195285537491571,0.8972612785761327
